season,date,age,team_played,game_type,venue,opponent,win_lose,point_difference,game_started,minutes_played,fieldgoal,fieldgoal_attempts,fieldgoal_percent,3pointers,3pointers_attempts,3pointers_percent,freethrows,freethrows_attempt,freethrow_percent,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
1,11/1/1996,18,los angeles lakers,season,away,phoenix suns,w,14,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
1,11/3/1996,18,los angeles lakers,season,away,minnesota timberwolves,w,6,0,6:22,0,1,0,0,0,,0,0,,0,1,1,0,0,1,1,1,0
1,11/5/1996,18,los angeles lakers,season,home,new york knicks,w,6,0,3:16,0,1,0,0,0,,1,2,0.5,0,0,0,0,0,0,1,0,1
1,11/6/1996,18,los angeles lakers,season,home,charlotte hornets,l,-10,0,6:49,2,3,0.667,1,2,0.5,0,0,,0,0,0,0,0,0,3,0,5
1,11/8/1996,18,los angeles lakers,season,home,toronto rapters,l,-1,0,17:15,3,8,0.375,2,3,0.667,2,4,0.5,0,3,3,0,0,1,0,3,10
1,11/10/1996,18,los angeles lakers,season,away,atlanta hawks,w,7,0,8:25,0,3,0,0,0,,2,2,1,1,2,3,1,0,0,0,0,2
1,11/12/1996,18,los angeles lakers,season,home,houston rockets,w,11,0,5:03,1,2,0.5,0,1,0,0,0,,0,1,1,0,0,0,2,0,2
1,11/13/1996,18,los angeles lakers,season,home,san antonio spurs,l,-12,0,6:06,2,2,1,1,1,1,1,1,1,0,0,0,0,1,0,0,2,6
1,11/15/1996,18,los angeles lakers,season,away,los angeles clippers,w,7,0,7:01,1,4,0.25,0,2,0,2,3,0.667,0,0,0,0,0,0,1,4,4
1,11/17/1996,18,los angeles lakers,season,home,phoenix suns,w,14,0,14:29,5,8,0.625,4,6,0.667,2,2,1,2,0,2,2,0,0,4,2,16
1,11/19/1996,18,los angeles lakers,season,home,golden state warriors,w,3,0,7:47,0,2,0,0,1,0,3,4,0.75,0,2,2,1,0,0,1,2,3
1,11/20/1996,18,los angeles lakers,season,away,utah jazz,l,-16,0,20:32,4,5,0.8,3,3,1,0,0,,0,1,1,1,0,1,2,1,11
1,11/22/1996,18,los angeles lakers,season,away,san antonio spurs,w,10,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
1,11/24/1996,18,los angeles lakers,season,away,houston rockets,l,-5,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
1,11/26/1996,18,los angeles lakers,season,home,philadelphia 76ers,w,12,0,20:52,4,10,0.4,2,5,0.4,2,2,1,0,1,1,1,0,0,3,1,12
1,11/27/1996,18,los angeles lakers,season,home,boston celtics,l,-16,0,19:33,1,7,0.143,0,3,0,0,0,,1,3,4,1,0,1,2,3,2
1,11/29/1996,18,los angeles lakers,season,home,detroit pistons,w,8,0,6:35,0,1,0,0,0,,1,2,0.5,1,0,1,0,0,1,0,1,1
1,12/1/1996,18,los angeles lakers,season,away,denver nuggets,w,8,0,2:41,1,2,0.5,0,0,,0,0,,0,1,1,0,0,0,1,0,2
1,12/3/1996,18,los angeles lakers,season,away,seattle supersonics,w,4,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
1,12/4/1996,18,los angeles lakers,season,home,utah jazz,l,-26,0,13:24,2,6,0.333,0,0,,4,6,0.667,1,2,3,2,0,0,1,1,8
1,12/6/1996,18,los angeles lakers,season,away,orlando magic,w,11,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
1,12/8/1996,18,los angeles lakers,season,away,minnesota timberwolves,w,24,0,22:02,3,10,0.3,0,3,0,5,6,0.833,2,1,3,3,2,2,3,2,11
1,12/10/1996,18,los angeles lakers,season,home,sacramento kings,w,2,0,6:07,0,1,0,0,1,0,0,0,,0,1,1,1,1,0,1,0,0
1,12/11/1996,18,los angeles lakers,season,away,indian pacers,w,3,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
1,12/13/1996,18,los angeles lakers,season,away,portland trailbrazers,w,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
1,12/17/1996,18,los angeles lakers,season,home,chicago bulls,l,-6,0,9:48,2,5,0.4,1,2,0.5,0,2,0,0,1,1,0,0,1,0,1,5
1,12/18/1996,18,los angeles lakers,season,home,milwaukee bucks,w,6,0,7:49,0,0,,0,0,,0,0,,2,1,3,1,0,1,1,0,0
1,12/21/1996,18,los angeles lakers,season,home,minnesota timberwolves,l,-15,0,11:38,2,3,0.667,1,2,0.5,0,0,,0,1,1,0,0,1,3,2,5
1,12/25/1996,18,los angeles lakers,season,home,phoenix suns,w,21,0,5:12,0,2,0,0,1,0,0,0,,0,1,1,0,0,0,0,1,0
1,12/27/1996,18,los angeles lakers,season,away,boston celtics,w,7,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
1,12/29/1996,18,los angeles lakers,season,away,philadelphia 76ers,w,13,0,6:31,0,1,0,0,0,,0,0,,0,1,1,0,1,0,1,3,0
1,1/2/1997,18,los angeles lakers,season,home,sacramento kings,w,7,0,10:29,2,3,0.667,0,1,0,0,0,,0,1,1,2,1,0,0,3,4
1,1/3/1997,18,los angeles lakers,season,away,sacramento kings,w,7,0,22:16,6,10,0.6,0,2,0,9,10,0.9,2,3,5,1,2,2,0,1,21
1,1/5/1997,18,los angeles lakers,season,home,vancouver grizzlies,w,13,0,28:48,6,9,0.667,1,1,1,3,4,0.75,3,2,5,3,1,0,2,3,16
1,1/6/1997,18,los angeles lakers,season,home,portland trailbrazers,l,-4,0,23:12,3,9,0.333,1,3,0.333,1,2,0.5,0,2,2,2,2,0,2,3,8
1,1/8/1997,18,los angeles lakers,season,away,charlotte hornets,w,4,0,21:32,4,13,0.308,0,2,0,1,2,0.5,1,0,1,2,2,1,2,2,9
1,1/10/1997,18,los angeles lakers,season,away,miami heat,w,9,0,7:46,1,3,0.333,0,1,0,0,0,,1,2,3,0,0,0,2,0,2
1,1/14/1997,18,los angeles lakers,season,away,vancouver grizzlies,w,10,0,5:34,1,6,0.167,0,2,0,0,0,,0,0,0,0,1,0,0,1,2
1,1/16/1997,18,los angeles lakers,season,away,portland trailbrazers,l,-4,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
1,1/18/1997,18,los angeles lakers,season,away,detroit pistons,l,-3,0,32:20,8,13,0.615,3,5,0.6,2,2,1,0,2,2,5,1,0,4,1,21
1,1/20/1997,18,los angeles lakers,season,away,dallas mavericks,w,10,0,13:24,3,7,0.429,0,0,,0,0,,1,1,2,1,1,0,5,2,6
1,1/24/1997,18,los angeles lakers,season,away,golden state warriors,w,17,0,24:54,4,8,0.5,1,4,0.25,8,8,1,3,3,6,4,1,0,3,2,17
1,1/26/1997,18,los angeles lakers,season,home,seattle supersonics,w,1,0,17:02,3,6,0.5,1,1,1,0,0,,1,0,1,1,1,0,3,0,7
1,1/28/1997,18,los angeles lakers,season,home,dallas mavericks,w,19,1,31:45,5,11,0.455,0,3,0,2,3,0.667,1,2,3,2,2,1,3,1,12
1,1/29/1997,18,los angeles lakers,season,home,san antonio spurs,w,7,1,29:51,6,12,0.5,3,7,0.429,4,4,1,1,3,4,0,2,2,3,2,19
1,2/2/1997,18,los angeles lakers,season,away,washington bullets,w,30,0,24:00,2,9,0.222,0,1,0,9,9,1,0,3,3,3,0,0,1,0,13
1,2/4/1997,18,los angeles lakers,season,home,los angeles clippers,l,-22,0,22:32,2,10,0.2,0,2,0,2,2,1,1,2,3,0,2,0,2,2,6
1,2/5/1997,18,los angeles lakers,season,away,chicago bulls,w,16,0,12:40,2,7,0.286,1,2,0.5,0,0,,1,2,3,0,0,1,0,0,5
1,2/12/1997,18,los angeles lakers,season,home,minnesota timberwolves,w,16,0,11:02,0,4,0,0,0,,2,3,0.667,1,1,2,3,0,1,1,1,2
1,2/13/1997,18,los angeles lakers,season,home,denver nuggets,w,15,0,20:00,4,10,0.4,1,2,0.5,0,0,,1,1,2,3,1,0,1,2,9
1,2/16/1997,18,los angeles lakers,season,away,seattle supersonics,l,-11,0,12:55,0,3,0,0,1,0,0,0,,0,1,1,0,0,0,2,2,0
1,2/19/1997,18,los angeles lakers,season,away,cleveland cavaliers,l,-19,1,23:27,3,7,0.429,2,4,0.5,2,2,1,0,2,2,0,0,2,1,3,10
1,2/21/1997,18,los angeles lakers,season,away,vancouver grizzlies,w,8,0,5:15,1,1,1,0,0,,0,0,,0,1,1,0,0,0,2,0,2
1,2/23/1997,18,los angeles lakers,season,away,new york knicks,l,-6,0,3:47,0,2,0,0,1,0,0,0,,0,1,1,0,0,0,0,1,0
1,2/25/1997,18,los angeles lakers,season,home,houston rockets,l,-4,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
1,2/27/1997,18,los angeles lakers,season,home,washington bullets,w,15,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
1,2/28/1997,18,los angeles lakers,season,home,atlanta hawks,l,-11,0,1:23,0,1,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0
1,3/2/1997,18,los angeles lakers,season,home,indian pacers,l,-16,0,21:28,4,9,0.444,0,1,0,2,2,1,1,0,1,1,0,0,1,1,10
1,3/4/1997,18,los angeles lakers,season,home,dallas mavericks,w,10,0,6:18,0,2,0,0,1,0,0,0,,1,1,2,0,0,0,0,0,0
1,3/7/1997,18,los angeles lakers,season,away,houston rockets,l,-21,0,17:23,3,10,0.3,0,4,0,2,2,1,0,1,1,1,1,0,1,1,8
1,3/9/1997,18,los angeles lakers,season,away,new jersey nets,w,10,0,26:02,3,6,0.5,1,3,0.333,5,5,1,1,1,2,2,2,1,0,3,12
1,3/12/1997,18,los angeles lakers,season,away,golden state warriors,w,8,0,18:17,6,10,0.6,4,6,0.667,2,3,0.667,1,0,1,0,3,0,3,4,18
